EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MonthlyIncome,Over18,PercentSalaryHike,StandardHours,TotalWorkingYears,YearsAtCompany,YearsAtCompany,EnvironmentSatisfaction,JobSatisfaction,PerformanceRating
41,36,No,Travel_Frequently,Research & Development,8,3,Other,1,Female,3,Sales Executive,69620,Y,12,8,4,1,2,3,NA,3
42,51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,2,Laboratory Technician,56750,Y,13,8,13,4,5,4,2,3
43,41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,1,Male,1,Laboratory Technician,23790,Y,12,8,22,22,23,4,2,3
44,18,No,Travel_Rarely,Sales,7,3,Life Sciences,1,Male,1,Research Scientist,38120,Y,15,8,0,0,1,4,3,3
45,28,No,Travel_Rarely,Research & Development,9,3,Medical,1,Male,1,Sales Representative,46480,Y,23,8,9,8,9,2,1,4
46,31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,1,Male,1,Manufacturing Director,29360,Y,12,8,10,8,9,2,4,3
47,39,No,Travel_Rarely,Sales,5,4,Marketing,1,Female,2,Human Resources,21050,Y,20,8,19,18,19,3,4,4
48,36,No,Non-Travel,Research & Development,5,4,Life Sciences,1,Male,1,Sales Executive,85780,Y,21,8,11,9,10,2,2,4
49,32,No,Travel_Rarely,Sales,2,3,Marketing,1,Male,2,Laboratory Technician,27060,Y,21,8,13,13,14,4,3,4
50,38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Female,3,Research Scientist,63840,Y,19,8,19,10,11,1,2,3
51,58,No,Non-Travel,Research & Development,2,3,Life Sciences,1,Male,2,Manufacturing Director,39680,Y,13,8,12,5,6,4,3,3
52,31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,1,Female,3,Research Scientist,99070,Y,13,8,6,5,6,3,4,3
53,31,No,Travel_Rarely,Sales,7,4,Marketing,1,Male,2,Sales Executive,132250,Y,21,8,9,2,3,1,1,4
54,45,No,Travel_Frequently,Research & Development,3,1,Medical,1,Female,1,Sales Executive,35400,Y,13,8,24,24,25,1,1,3
55,31,No,Travel_Rarely,Sales,16,4,Marketing,1,Female,2,Research Scientist,28040,Y,19,8,3,2,3,3,4,3
56,33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Male,4,Research Director,193920,Y,12,8,12,10,11,4,2,3
57,39,No,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,1,Sales Executive,196650,Y,22,8,21,21,22,3,1,4
58,43,No,Travel_Frequently,Research & Development,7,4,Medical,1,Male,4,Research Scientist,24390,Y,15,8,9,8,9,3,4,3
59,49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Manufacturing Director,73140,Y,22,8,25,7,8,3,3,4
60,52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,1,Female,2,Research Scientist,47740,Y,18,8,11,8,9,3,2,3
61,27,No,Travel_Rarely,Research & Development,15,4,Medical,1,Male,3,Research Scientist,39020,Y,22,8,4,4,5,3,2,4
62,32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Research Scientist,26620,Y,11,8,13,13,14,3,2,3
63,27,No,Travel_Rarely,Research & Development,13,2,Medical,1,Female,4,Research Director,28560,Y,12,8,5,5,6,4,3,3
64,31,No,Travel_Rarely,Sales,24,3,Life Sciences,1,Male,2,Healthcare Representative,10810,Y,11,8,13,7,8,4,4,3
65,32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,Male,2,Healthcare Representative,24720,Y,13,8,10,7,8,1,4,3
66,28,Yes,Travel_Rarely,Research & Development,9,4,Medical,1,Male,1,Sales Executive,56730,Y,14,8,5,3,4,1,4,3
67,30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,1,Female,4,Research Director,41970,Y,13,8,11,10,11,4,4,3
68,31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,Female,1,Manager,97130,Y,17,8,10,10,11,3,3,3
69,39,No,Travel_Frequently,Research & Development,19,4,Medical,1,Female,1,Research Scientist,20620,Y,13,8,21,21,22,3,4,3
70,39,Yes,Travel_Rarely,Research & Development,1,1,Medical,1,Female,1,Laboratory Technician,42840,Y,17,8,12,1,2,4,3,3
71,33,No,Travel_Frequently,Sales,4,2,Life Sciences,1,Male,4,Research Scientist,47880,Y,11,8,9,7,8,2,4,3
72,47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,Female,2,Healthcare Representative,59060,Y,23,8,21,3,4,4,3,4
73,43,No,Travel_Frequently,Research & Development,14,3,Medical,1,Female,5,Research Director,38860,Y,17,8,9,9,10,3,3,3
74,27,No,Non-Travel,Research & Development,2,3,Life Sciences,1,Male,1,Research Director,168230,Y,17,8,6,5,6,3,2,3
75,54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,Male,2,Research Scientist,29330,Y,12,8,20,4,5,4,3,3
76,43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,Female,2,Manager,65000,Y,23,8,10,1,2,3,1,4
77,45,No,Travel_Rarely,Sales,3,1,Marketing,1,Female,1,Sales Executive,171740,Y,14,8,12,10,11,4,4,3
78,40,No,Travel_Rarely,Research & Development,2,4,Other,1,Male,4,Research Scientist,50330,Y,14,8,6,4,5,2,4,3
79,29,Yes,Travel_Rarely,Research & Development,29,3,Medical,1,Female,1,Research Scientist,23070,Y,13,8,7,7,8,2,1,3
80,29,No,Travel_Rarely,Human Resources,8,3,Medical,1,Male,3,Sales Representative,25870,Y,22,8,4,3,4,2,4,4
81,30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,Male,2,Research Scientist,55070,Y,12,8,10,10,11,4,3,3
82,27,No,Travel_Rarely,Research & Development,11,2,Medical,1,Male,1,Manager,43930,Y,18,8,8,8,9,2,2,3
83,37,No,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,2,Healthcare Representative,133480,Y,14,8,8,6,7,4,4,3
84,38,No,Travel_Rarely,Research & Development,28,4,Medical,1,Male,1,Laboratory Technician,65830,Y,12,8,12,11,12,3,4,3
85,31,No,Travel_Rarely,Research & Development,6,3,Medical,1,Female,3,Manager,81030,Y,15,8,11,11,12,3,4,3
86,29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Male,3,Sales Executive,39780,Y,11,8,7,7,8,4,2,3
87,35,No,Travel_Rarely,Sales,16,2,Technical Degree,1,Male,3,Manager,25440,Y,13,8,17,16,17,3,2,3
88,23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,1,Male,1,Manufacturing Director,53990,Y,23,8,4,4,5,3,4,4
89,41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,Female,1,Laboratory Technician,54870,Y,19,8,8,5,6,4,2,3
90,47,No,Travel_Frequently,Sales,1,3,Medical,1,Female,2,Laboratory Technician,68340,Y,16,8,5,0,1,2,3,3
91,42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Male,1,Manager,10910,Y,22,8,16,1,2,1,4,4
92,29,No,Non-Travel,Sales,22,4,Marketing,1,Male,2,Human Resources,57360,Y,22,8,4,4,5,4,3,4
93,42,No,Travel_Rarely,Sales,7,4,Medical,1,Male,3,Research Scientist,22260,Y,12,8,4,3,4,3,3,3
94,32,No,Travel_Rarely,Research & Development,2,3,Medical,1,Male,2,Research Scientist,57470,Y,13,8,8,8,9,3,2,3
95,48,No,Travel_Rarely,Sales,13,4,Medical,1,Male,4,Sales Executive,98540,Y,16,8,15,0,1,1,3,3
96,37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,1,Male,2,Manufacturing Director,54670,Y,12,8,13,7,8,3,1,3
97,30,No,Non-Travel,Sales,25,4,Other,1,Male,1,Healthcare Representative,53800,Y,21,8,4,2,3,4,3,4
98,26,No,Travel_Rarely,Sales,28,3,Medical,1,Female,5,Laboratory Technician,51510,Y,15,8,8,8,9,3,3,3
99,42,No,Travel_Rarely,Sales,2,2,Medical,1,Female,1,Laboratory Technician,21330,Y,13,8,14,1,2,1,4,3
100,21,Yes,Travel_Frequently,Research & Development,9,3,Medical,1,Female,4,Manufacturing Director,178750,Y,12,8,3,3,4,1,2,3
101,36,No,Non-Travel,Human Resources,28,3,Human Resources,1,Male,2,Laboratory Technician,24320,Y,22,8,7,1,2,4,4,4
102,36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,1,Female,2,Research Scientist,47710,Y,13,8,16,13,14,1,4,3
103,57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,Male,5,Research Scientist,191610,Y,18,8,15,3,4,4,3,3
104,40,No,Travel_Rarely,Research & Development,8,3,Other,1,Male,2,Sales Executive,50870,Y,14,8,10,7,8,4,3,3
105,21,No,Non-Travel,Research & Development,1,5,Life Sciences,1,Female,2,Manager,28630,Y,14,8,3,3,4,1,4,3
106,33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,1,Female,5,Manager,55610,Y,21,8,1,1,2,4,3,4
107,37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,Male,4,Research Scientist,21440,Y,19,8,17,5,6,3,1,3
108,46,No,Non-Travel,Sales,2,4,Marketing,1,Female,2,Laboratory Technician,30650,Y,11,8,7,1,2,3,3,3
109,41,Yes,Travel_Frequently,Research & Development,16,1,Medical,1,Female,1,Research Scientist,28100,Y,11,8,8,8,9,1,2,3
110,50,No,Travel_Rarely,Research & Development,9,3,Medical,1,Female,3,Laboratory Technician,98880,Y,15,8,20,4,5,4,4,3
111,40,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,Female,1,Healthcare Representative,86280,Y,20,8,8,6,7,3,3,4
112,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,4,Human Resources,28670,Y,24,8,3,2,3,NA,2,4
113,21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,1,Male,1,Laboratory Technician,53730,Y,12,8,1,1,2,3,2,3
114,29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,2,Research Director,66670,Y,12,8,6,3,4,4,4,3
115,35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,1,Female,3,Sales Executive,50030,Y,15,8,10,1,2,3,2,3
116,27,No,Travel_Rarely,Sales,2,3,Life Sciences,1,Male,1,Sales Executive,23670,Y,12,8,5,5,6,4,2,3
117,28,No,Travel_Rarely,Research & Development,2,2,Medical,1,Male,3,Manager,28580,Y,12,8,7,7,8,2,4,3
118,49,No,Travel_Rarely,Sales,2,3,Technical Degree,1,Male,2,Manufacturing Director,52040,Y,14,8,26,5,6,2,3,3
119,51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,1,Sales Executive,41050,Y,22,8,18,7,8,3,4,4
120,36,No,Travel_Rarely,Sales,15,2,Life Sciences,1,Male,1,Sales Executive,96790,Y,12,8,6,2,3,4,3,3
121,34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,1,Male,1,Sales Representative,56170,Y,25,8,9,5,6,1,4,4
122,55,No,Travel_Rarely,Sales,26,3,Marketing,1,Male,1,Laboratory Technician,104480,Y,13,8,30,5,6,3,4,3
123,24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,5,Manager,28970,Y,18,8,5,5,6,4,3,3
124,30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,Female,2,Manager,59680,Y,13,8,1,1,2,3,2,3
125,26,Yes,Travel_Frequently,Sales,14,3,Life Sciences,1,Male,2,Manager,75100,Y,18,8,7,6,7,3,NA,3
126,22,No,Travel_Rarely,Research & Development,16,5,Other,1,Male,1,Research Scientist,29910,Y,19,8,2,2,3,1,2,3
127,36,No,Travel_Rarely,Research & Development,1,3,Medical,1,Female,5,Healthcare Representative,196360,Y,12,8,10,10,11,2,3,3
128,30,Yes,Travel_Frequently,Sales,3,2,Marketing,1,Male,3,Research Scientist,11290,Y,19,8,3,1,2,3,4,3
129,37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,1,Male,1,Sales Executive,133410,Y,14,8,18,18,19,4,1,3
130,40,No,Travel_Rarely,Research & Development,6,2,Medical,1,Male,3,Research Scientist,43320,Y,14,8,8,5,6,4,2,3
131,42,No,Travel_Rarely,Research & Development,2,3,Medical,1,Female,4,Manager,110310,Y,12,8,8,5,6,2,1,3
132,37,No,Travel_Rarely,Sales,9,1,Marketing,1,Male,3,Sales Executive,44400,Y,11,8,18,1,2,3,2,3
133,43,No,Travel_Rarely,Sales,10,2,Life Sciences,1,Female,1,Sales Executive,46170,Y,11,8,25,25,26,1,2,3
134,40,No,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Laboratory Technician,26470,Y,13,8,20,1,2,2,3,3
135,54,No,Travel_Rarely,Human Resources,9,3,Life Sciences,1,Female,2,Manufacturing Director,63230,Y,23,8,24,4,5,1,1,4
136,34,No,Non-Travel,Research & Development,28,3,Medical,1,Male,1,Laboratory Technician,56770,Y,20,8,6,3,4,3,3,4
137,31,No,Travel_Rarely,Research & Development,10,4,Life Sciences,1,Male,3,Sales Executive,21870,Y,15,8,13,13,14,2,1,3
138,43,No,Travel_Frequently,Sales,14,3,Life Sciences,1,Female,1,Manufacturing Director,37480,Y,14,8,NA,3,4,4,4,3
139,43,No,Travel_Rarely,Sales,27,4,Life Sciences,1,Male,2,Sales Representative,39770,Y,18,8,8,5,6,3,3,3
140,25,No,Travel_Rarely,Human Resources,7,2,Human Resources,1,Male,1,Manufacturing Director,86330,Y,19,8,5,5,6,2,4,3
141,37,No,Non-Travel,Research & Development,1,3,Medical,1,Male,3,Laboratory Technician,20080,Y,22,8,15,13,14,2,3,4
142,31,No,Travel_Rarely,Research & Development,24,1,Medical,1,Male,3,Laboratory Technician,44400,Y,13,8,4,4,5,4,1,3
143,39,No,Travel_Frequently,Research & Development,26,4,Technical Degree,1,Female,1,Sales Executive,30670,Y,20,8,21,21,22,2,3,4
144,56,No,Travel_Frequently,Research & Development,20,4,Life Sciences,1,Female,3,Sales Executive,53210,Y,14,8,36,7,8,3,1,3
145,30,No,Travel_Rarely,Sales,5,4,Medical,1,Female,2,Manufacturing Director,54100,Y,17,8,6,5,6,2,3,3
146,41,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,Female,3,Research Scientist,27820,Y,14,8,10,10,11,2,1,3
147,28,No,Travel_Rarely,Research & Development,7,3,Medical,1,Male,3,Healthcare Representative,119570,Y,13,8,10,10,11,3,1,3
148,25,Yes,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Female,3,Laboratory Technician,26600,Y,13,8,6,2,3,1,1,3
149,52,No,Travel_Rarely,Research & Development,26,2,Life Sciences,1,Female,2,Sales Representative,33750,Y,21,8,28,5,6,4,3,4
150,45,No,Travel_Rarely,Research & Development,2,3,Medical,1,Female,1,Sales Executive,50980,Y,14,8,8,2,3,1,4,3
151,52,No,Travel_Rarely,Research & Development,12,3,Medical,1,Male,2,Research Scientist,48780,Y,11,8,31,5,6,4,4,3
152,42,No,Travel_Frequently,Sales,10,3,Marketing,1,Female,2,Healthcare Representative,28370,Y,13,8,19,5,6,1,3,3
153,30,No,Travel_Rarely,Sales,25,3,Marketing,1,Male,1,Sales Executive,24060,Y,20,8,11,5,6,3,4,4
154,60,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,Female,1,Manufacturing Director,22690,Y,18,8,33,29,30,1,1,3
155,46,No,Travel_Rarely,Sales,19,4,Marketing,1,Female,1,Sales Executive,41080,Y,14,8,19,10,11,3,3,3
156,42,No,Travel_Frequently,Research & Development,18,4,Technical Degree,1,Male,4,Sales Executive,132060,Y,13,8,7,6,7,4,4,3
157,24,Yes,Travel_Rarely,Research & Development,27,2,Medical,1,Male,1,Research Scientist,104220,Y,17,8,6,5,6,1,2,3
158,34,Yes,Travel_Frequently,Research & Development,5,3,Medical,1,Male,2,Research Scientist,137440,Y,20,8,3,2,3,4,3,4
159,38,No,Travel_Frequently,Sales,3,3,Marketing,1,Female,2,Sales Executive,49070,Y,11,8,1,1,2,4,4,3
160,40,No,Travel_Rarely,Sales,26,4,Marketing,1,Female,1,Sales Executive,34820,Y,18,8,21,20,21,3,3,3
161,26,No,Travel_Rarely,Research & Development,3,2,Medical,1,Female,4,Healthcare Representative,24360,Y,24,8,3,3,4,1,4,4
162,30,No,Non-Travel,Research & Development,15,3,Medical,1,Female,2,Sales Executive,23800,Y,18,8,9,5,6,3,4,3
163,29,No,Travel_Rarely,Research & Development,8,3,Medical,1,Female,3,Manufacturing Director,194310,Y,11,8,10,10,11,2,3,3
164,29,Yes,Travel_Rarely,Research & Development,19,4,Life Sciences,1,Male,3,Research Scientist,17900,Y,16,8,6,2,3,3,2,3
165,19,Yes,Travel_Rarely,Research & Development,4,3,Medical,1,Male,1,Sales Executive,76440,Y,15,8,1,1,2,1,4,3
166,30,No,Non-Travel,Research & Development,2,4,Life Sciences,1,Female,3,Research Scientist,51310,Y,15,8,10,9,10,3,1,3
167,57,No,Travel_Rarely,Research & Development,2,2,Life Sciences,1,Male,4,Research Scientist,63060,Y,12,8,32,1,2,1,4,3
168,50,No,Travel_Rarely,Sales,10,4,Life Sciences,1,Female,3,Manager,47870,Y,12,8,28,27,28,2,3,3
169,30,No,Non-Travel,Sales,10,2,Life Sciences,1,Male,3,Laboratory Technician,188800,Y,22,8,12,11,12,3,4,4
170,60,No,Travel_Frequently,Research & Development,16,3,Life Sciences,1,Female,4,Laboratory Technician,23390,Y,20,8,22,18,19,3,1,4
171,47,No,Travel_Rarely,Research & Development,1,3,Technical Degree,1,Male,5,Manufacturing Director,135700,Y,16,8,20,5,6,1,4,3
172,46,No,Travel_Rarely,Sales,4,1,Technical Degree,1,Male,1,Laboratory Technician,67120,Y,21,8,26,3,4,1,3,4
173,35,No,Travel_Rarely,Research & Development,15,2,Medical,1,Female,2,Laboratory Technician,54060,Y,12,8,6,5,6,4,3,3
174,54,No,Travel_Rarely,Research & Development,2,4,Medical,1,Male,2,Human Resources,89380,Y,11,8,19,1,2,3,3,3
175,34,No,Travel_Rarely,Sales,8,2,Life Sciences,1,Male,1,Laboratory Technician,24390,Y,11,8,14,7,8,4,3,3
176,46,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,1,Healthcare Representative,88370,Y,18,8,15,3,4,3,4,3
177,31,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Male,2,Research Director,53430,Y,14,8,13,13,14,3,2,3
178,33,Yes,Travel_Rarely,Research & Development,10,3,Life Sciences,1,Female,4,Research Director,67280,Y,22,8,15,7,8,2,3,4
179,33,Yes,Travel_Rarely,Sales,5,4,Marketing,1,Male,2,Research Director,66520,Y,25,8,8,4,5,1,4,4
180,30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,1,Sales Executive,48500,Y,12,8,4,3,4,4,2,3
181,35,No,Travel_Rarely,Research & Development,12,2,Medical,1,Female,2,Sales Representative,28090,Y,23,8,10,8,9,4,3,4
182,31,Yes,Travel_Frequently,Research & Development,22,2,Medical,1,Female,2,Sales Executive,56890,Y,15,8,12,1,2,1,3,3
183,34,Yes,Travel_Frequently,Sales,17,1,Marketing,1,Male,1,Research Director,20010,Y,22,8,11,3,4,2,1,4
184,42,No,Travel_Frequently,Research & Development,2,4,Medical,1,Female,1,Research Scientist,29770,Y,15,8,8,2,3,2,3,3
185,36,No,Non-Travel,Research & Development,3,4,Medical,1,Male,1,Research Scientist,40250,Y,11,8,10,10,11,2,4,3
186,22,Yes,Travel_Frequently,Research & Development,7,3,Medical,1,Female,2,Laboratory Technician,37850,Y,13,8,4,2,3,3,3,3
187,48,No,Travel_Rarely,Research & Development,6,3,Medical,1,Male,1,Laboratory Technician,108540,Y,14,8,14,9,10,2,4,3
188,55,No,Travel_Rarely,Research & Development,1,3,Medical,1,Female,1,Sales Executive,120310,Y,11,8,37,10,11,1,2,3
189,41,No,Non-Travel,Research & Development,3,2,Life Sciences,1,Female,2,Research Scientist,99360,Y,17,8,16,14,15,4,4,3
190,35,No,Travel_Rarely,Research & Development,22,3,Medical,1,Female,1,Sales Representative,29660,Y,18,8,15,11,12,2,3,3
191,40,No,Travel_Rarely,Research & Development,15,3,Life Sciences,1,Female,2,Laboratory Technician,25710,Y,14,8,22,20,21,2,3,3
192,39,No,Travel_Frequently,Research & Development,12,1,Medical,1,Male,1,Research Scientist,99910,Y,16,8,8,8,9,3,3,3
193,31,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,3,Research Director,61420,Y,13,8,10,6,7,2,4,3
194,42,No,Travel_Rarely,Research & Development,5,3,Medical,1,Male,3,Sales Executive,53900,Y,14,8,10,10,11,4,1,3
195,45,No,Travel_Rarely,Research & Development,2,1,Medical,1,Female,4,Sales Executive,44040,Y,23,8,9,8,9,4,2,4
196,26,Yes,Travel_Frequently,Research & Development,2,1,Life Sciences,1,Female,2,Laboratory Technician,59930,Y,12,8,8,7,8,NA,3,3
197,29,No,Travel_Rarely,Research & Development,5,3,Medical,1,Male,1,Research Scientist,51300,Y,11,8,8,3,4,4,4,3
198,33,No,Travel_Rarely,Research & Development,16,3,Medical,1,Female,1,Laboratory Technician,20900,Y,16,8,10,6,7,1,3,3
199,31,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,Female,1,Sales Executive,29090,Y,14,8,10,5,6,3,4,3
200,18,Yes,Travel_Frequently,Research & Development,2,3,Technical Degree,1,Male,1,Sales Executive,34680,Y,18,8,0,0,1,2,2,3
201,40,No,Non-Travel,Research & Development,1,4,Technical Degree,1,Female,2,Laboratory Technician,30680,Y,19,8,20,1,2,3,1,3
202,41,No,Non-Travel,Research & Development,23,3,Life Sciences,1,Male,2,Manufacturing Director,26700,Y,15,8,10,8,9,1,3,3
203,26,No,Travel_Rarely,Research & Development,9,4,Medical,1,Male,3,Healthcare Representative,26930,Y,17,8,8,0,1,1,3,3
204,35,No,Travel_Rarely,Research & Development,16,4,Medical,1,Male,2,Human Resources,95260,Y,15,8,5,5,6,1,3,3
205,34,No,Travel_Rarely,Research & Development,26,3,Medical,1,Male,1,Laboratory Technician,52370,Y,19,8,10,10,11,4,4,3
206,26,Yes,Travel_Rarely,Sales,1,3,Marketing,1,Female,2,Manufacturing Director,24260,Y,22,8,1,1,2,3,4,4
